crn,catalog_id,section,credits,title,meetings,primary_instructor
76933,MPA 0420,01,3.000,Leadership,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '09/01-10/21', 'location': 'CNS 9'}]",Michael P.  Pagano
77100,MPA 0500,01,3.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/18', 'location': 'BY ARR '}]",David   Gudelunas
77108,MPA 0510,AA,3.000,Capstone Experience,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/18', 'location': 'BY ARR '}]",Anna-Maria   Aksan
77109,MPA 0510,TM,3.000,Capstone Experience,"[{'days': '\xa0', 'times': 'TBA', 'dates': '09/01-12/18', 'location': 'BY ARR '}]",Thomas Joseph  Murray
75936,QA 0400,01,3.000,Applied Business Statistics,"[{'days': 'T', 'times': '0630pm-0930pm', 'dates': '09/01-10/23', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '09/12-09/12', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '09/26-09/26', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '10/17-10/17', 'location': 'DSB 107'}]",Xin Xin   He
76970,QA 0500,01,3.000,Business Forecasting and Predictive Analytics,"[{'days': 'T', 'times': '0630pm-0930pm', 'dates': '11/03-12/18', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '11/07-11/07', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '12/05-12/05', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '12/12-12/12', 'location': 'DSB 107'}]",Xin Xin   He
77092,RLD 0503,01,3.000,Research and Evaluation in K-12 Multidisciplinary Contexts,"[{'days': 'W', 'times': '0715pm-0915pm', 'dates': '09/02-12/16', 'location': 'CNS 206'}]",Jule J.  McCombes-Tolis
77095,RLD 0550,01,3.000,Reading Different Types of Texts and Academic Language - Content Area Literacy,"[{'days': 'W', 'times': '0455pm-0655pm', 'dates': '09/02-12/16', 'location': 'CNS 303'}]",Jule J.  McCombes-Tolis
77096,RLD 0591,01,3.000,Practicum in Remedial Reading and Language Arts,"[{'days': 'M', 'times': '0715pm-0915pm', 'dates': '09/14-12/14', 'location': 'CNS 103'}]",Marjorie   Gillis
76058,RS 0101A,A,3.000,Exploring Religion: Religion and the Critical Mind,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/01-12/07', 'location': 'CNS 6'}]",Nancy A.  Dallavalle
76428,RS 0101A,B,3.000,Exploring Religion: Religion and the Critical Mind,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'CNS 305'}]",Lydia E. N.  Ciollo
75562,RS 0101C,A,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MWR', 'times': '0800am-0850am', 'dates': '09/01-12/07', 'location': 'DMH 350'}]",John T.  Slotemaker
75563,RS 0101C,B,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '1100am-1150am', 'dates': '09/01-12/07', 'location': 'MCA 206'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '09/01-12/07', 'location': 'MCA 206'}]",John T.  Slotemaker
75564,RS 0101C,C,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/01-12/07', 'location': 'DMH 347'}]",Martin T.  Nguyen
75724,RS 0101C,D,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'CNS 103'}]",Martin T.  Nguyen
75780,RS 0101C,E,3.000,"Exploring Religion: Common Questions, Traditional Response","[{'days': 'MR', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'JGS 25'}]",Daniel B.  Cosacchi
