term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2016,77200,AC 0011,01C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSB 110A'}]",['MR 1100am-1215pm 09/06-12/12 DSB 110A'],Rebecca I.  Bloch,0,28,-28
Fall2016,77217,AC 0011,02C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 110A'}]",['MR 1230pm-0145pm 09/06-12/12 DSB 110A'],Rebecca I.  Bloch,0,31,-31
Fall2016,77218,AC 0011,03C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['MR 0800am-0915am 09/06-12/12 DSB 108'],Gregory Patrick  Burke,0,28,-28
Fall2016,77219,AC 0011,04C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['MR 0930am-1045am 09/06-12/12 DSB 108'],Gregory Patrick  Burke,0,23,-23
Fall2016,77220,AC 0011,05C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['MR 0200pm-0315pm 09/06-12/12 DSB 108'],Gregory Patrick  Burke,0,25,-25
Fall2016,77221,AC 0011,06C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['MR 0330pm-0445pm 09/06-12/12 DSB 108'],Gregory Patrick  Burke,0,24,-24
Fall2016,77400,AC 0011,07,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSB 115'}]",['MR 1100am-1215pm 09/06-12/12 DSB 115'],Joan L.  Lee,29,30,-1
Fall2016,77416,AC 0011,08,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/06-12/12', 'location': 'DSB 112'}]",['TF 0330pm-0445pm 09/06-12/12 DSB 112'],Michael P.  Coyne,29,27,2
Fall2016,77647,AC 0011,09,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSB 110B'}]",['TF 0930am-1045am 09/06-12/12 DSB 110B'],Jo Ann   Drusbosky,29,25,4
Fall2016,77935,AC 0011,10,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSB 110B'}]",['TF 1100am-1215pm 09/06-12/12 DSB 110B'],Jo Ann   Drusbosky,29,27,2
Fall2016,77936,AC 0011,11,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 110B'}]",['TF 1230pm-0145pm 09/06-12/12 DSB 110B'],Jo Ann   Drusbosky,29,27,2
Fall2016,78273,AC 0011,12,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['TF 1100am-1215pm 09/06-12/12 DSB 108'],Arleen N.  Kardos,29,28,1
Fall2016,78274,AC 0011,13,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['TF 1230pm-0145pm 09/06-12/12 DSB 108'],Arleen N.  Kardos,29,28,1
Fall2016,78278,AC 0011,14,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 115'}]",['MR 1230pm-0145pm 09/06-12/12 DSB 115'],Joan L.  Lee,29,29,0
Fall2016,78763,AC 0011,15,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/06-12/12', 'location': 'DSB 115'}]",['TF 0800am-0915am 09/06-12/12 DSB 115'],Patricia M.  Poli,29,25,4
Fall2016,79024,AC 0011,16,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/06-12/12', 'location': 'DSB 108'}]",['MW 0630pm-0745pm 09/06-12/12 DSB 108'],Scott M  Brenner,20,18,2
Fall2016,77168,AC 0012,01,3.000,Intro to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 109'}]",['MR 1230pm-0145pm 09/06-12/12 DSB 109'],Bruce   Bradford,20,19,1
Fall2016,78280,AC 0012,02,3.000,Intro to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSB 106'}]",['MR 0200pm-0315pm 09/06-12/12 DSB 106'],Bruce   Bradford,20,16,4
Fall2016,77041,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/06-12/12', 'location': 'DSB 111'}]",['TF 0930am-1045am 09/06-12/12 DSB 111'],Milo W.  Peck,26,22,4
Fall2016,77042,AC 0203,02,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/06-12/12', 'location': 'DSB 104'}]",['TF 1230pm-0145pm 09/06-12/12 DSB 104'],Milo W.  Peck,26,25,1
Fall2016,78137,AC 0203,03,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/06-12/12', 'location': 'DSB 104'}]",['TF 0200pm-0315pm 09/06-12/12 DSB 104'],Milo W.  Peck,24,23,1
