term,crn,location,day,start,end
Summer2018,58111,DSB 112,M,2018-05-21T18:00:00,2018-05-21T21:30:00
Summer2018,58111,DSB 112,W,2018-05-23T18:00:00,2018-05-23T21:30:00
Summer2018,58111,DSB 112,W,2018-05-30T18:00:00,2018-05-30T21:30:00
Summer2018,58111,DSB 112,M,2018-06-04T18:00:00,2018-06-04T21:30:00
Summer2018,58111,DSB 112,W,2018-06-06T18:00:00,2018-06-06T21:30:00
Summer2018,58111,DSB 112,M,2018-06-11T18:00:00,2018-06-11T21:30:00
Summer2018,58111,DSB 112,W,2018-06-13T18:00:00,2018-06-13T21:30:00
Summer2018,58111,DSB 112,M,2018-06-18T18:00:00,2018-06-18T21:30:00
Summer2018,58111,DSB 112,W,2018-06-20T18:00:00,2018-06-20T21:30:00
Summer2018,58111,DSB 112,M,2018-06-25T18:00:00,2018-06-25T21:30:00
Summer2018,58111,DSB 112,W,2018-06-27T18:00:00,2018-06-27T21:30:00
Summer2018,58111,DSB 106,M,2018-05-21T18:00:00,2018-05-21T21:30:00
Summer2018,58111,DSB 106,W,2018-05-23T18:00:00,2018-05-23T21:30:00
Summer2018,58111,DSB 106,W,2018-05-30T18:00:00,2018-05-30T21:30:00
Summer2018,58111,DSB 106,M,2018-06-04T18:00:00,2018-06-04T21:30:00
Summer2018,58111,DSB 106,W,2018-06-06T18:00:00,2018-06-06T21:30:00
Summer2018,58111,DSB 106,M,2018-06-11T18:00:00,2018-06-11T21:30:00
Summer2018,58111,DSB 106,W,2018-06-13T18:00:00,2018-06-13T21:30:00
Summer2018,58111,DSB 106,M,2018-06-18T18:00:00,2018-06-18T21:30:00
Summer2018,58111,DSB 106,W,2018-06-20T18:00:00,2018-06-20T21:30:00
Summer2018,58111,DSB 106,M,2018-06-25T18:00:00,2018-06-25T21:30:00
Summer2018,58111,DSB 106,W,2018-06-27T18:00:00,2018-06-27T21:30:00
Summer2018,58111,DSB 106,R,2018-05-31T18:00:00,2018-05-31T21:30:00
Summer2018,58112,DSB 111,M,2018-07-09T18:00:00,2018-07-09T21:30:00
Summer2018,58112,DSB 111,W,2018-07-11T18:00:00,2018-07-11T21:30:00
Summer2018,58112,DSB 111,M,2018-07-16T18:00:00,2018-07-16T21:30:00
Summer2018,58112,DSB 111,W,2018-07-18T18:00:00,2018-07-18T21:30:00
Summer2018,58112,DSB 111,M,2018-07-23T18:00:00,2018-07-23T21:30:00
Summer2018,58112,DSB 111,W,2018-07-25T18:00:00,2018-07-25T21:30:00
Summer2018,58112,DSB 111,M,2018-07-30T18:00:00,2018-07-30T21:30:00
Summer2018,58112,DSB 111,W,2018-08-01T18:00:00,2018-08-01T21:30:00
Summer2018,58112,DSB 111,M,2018-08-06T18:00:00,2018-08-06T21:30:00
Summer2018,58112,DSB 111,W,2018-08-08T18:00:00,2018-08-08T21:30:00
Summer2018,58112,DSB 111,M,2018-08-13T18:00:00,2018-08-13T21:30:00
Summer2018,58201,DSB 104,M,2018-05-21T18:00:00,2018-05-21T21:30:00
Summer2018,58201,DSB 104,W,2018-05-23T18:00:00,2018-05-23T21:30:00
