term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2017,31895,AC 0012,14,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TF 1100am-1215pm 01/17-05/02 DSB 108'],Arleen N.  Kardos,27,29,-2
Spring2017,32740,AC 0012,15,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['MR 1100am-1215pm 01/17-05/02 DSB 115'],Joan L.  Lee,27,25,2
Spring2017,32741,AC 0012,16,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TF 1230pm-0145pm 01/17-05/02 DSB 108'],Arleen N.  Kardos,18,18,0
Spring2017,31148,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 104'}]",['R 0630pm-0900pm 01/17-05/02 DSB 104'],Rebecca I.  Bloch,20,11,9
Spring2017,31036,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'SON 203'}]","['TF 0930am-1045am 01/17-05/02 DSB 110A', 'S 0830am-0430pm 03/25-03/25 SON 203']",Milo W.  Peck,24,24,0
Spring2017,31072,AC 0204,02,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'SON 203'}]","['TF 1100am-1215pm 01/17-05/02 DSB 110A', 'S 0830am-0430pm 03/25-03/25 SON 203']",Milo W.  Peck,24,25,-1
Spring2017,31297,AC 0204,03,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'DSB 111'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'SON 203'}]","['TF 0200pm-0315pm 01/17-05/02 DSB 111', 'S 0830am-0430pm 03/25-03/25 SON 203']",Milo W.  Peck,24,24,0
Spring2017,32169,AC 0204,04,3.000,Intermediate Accounting II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/25-03/25', 'location': 'SON 203'}]","['T 0630pm-0900pm 01/17-05/02 DSB 110A', 'S 0830am-0430pm 03/25-03/25 SON 203']",Stephen E.  Yost,20,18,2
Spring2017,31428,AC 0265,01,3.000,Accounting Information Systems,"[{'days': 'W', 'times': '0800am-1030am', 'dates': '01/17-05/02', 'location': 'DSB 107'}]",['W 0800am-1030am 01/17-05/02 DSB 107'],Scott M  Brenner,20,22,-2
Spring2017,31158,AC 0310,01,3.000,Advanced Accounting,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 106'}]",['T 0630pm-0900pm 01/17-05/02 DSB 106'],Lisa Suzanne  Haylon,20,23,-3
Spring2017,31248,AC 0310,02,3.000,Advanced Accounting,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['W 1100am-0130pm 01/17-05/02 DSB 115'],Patricia M.  Poli,20,20,0
Spring2017,31705,AC 0310,03,3.000,Advanced Accounting,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DSB 115'}]",['W 0200pm-0430pm 01/17-05/02 DSB 115'],Patricia M.  Poli,20,20,0
Spring2017,32742,AC 0310,04,3.000,Advanced Accounting,"[{'days': 'T', 'times': '0800am-1030am', 'dates': '01/17-05/02', 'location': 'DSB 104'}]",['T 0800am-1030am 01/17-05/02 DSB 104'],Patricia M.  Poli,20,18,2
Spring2017,31346,AC 0320,01,3.000,Cost Management,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'DSB 110A'}]",['MR 1100am-1215pm 01/17-05/02 DSB 110A'],Ahmed M.  Ebrahim,25,18,7
Spring2017,31706,AC 0320,02,3.000,Cost Management,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 110A'}]",['MR 1230pm-0145pm 01/17-05/02 DSB 110A'],Ahmed M.  Ebrahim,25,18,7
Spring2017,32743,AC 0320,03,3.000,Cost Management,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DSB 111'}]",['W 0200pm-0430pm 01/17-05/02 DSB 111'],Ahmed M.  Ebrahim,25,23,2
Spring2017,31241,AC 0330,01,3.000,Auditing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['R 0630pm-0900pm 01/17-05/02 DSB 112'],John L.  DeMelis,20,11,9
Spring2017,31638,AC 0330,02,3.000,Auditing,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['MR 0930am-1045am 01/17-05/02 DSB 112'],Paul   Caster,25,25,0
Spring2017,31250,AC 0343,01,3.000,Federal Income Taxation I,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['MR 0800am-0915am 01/17-05/02 DSB 108'],Kathi M.  Mettler,25,13,12
Spring2017,31953,AC 0343,02,3.000,Federal Income Taxation I,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['MR 0930am-1045am 01/17-05/02 DSB 108'],Kathi M.  Mettler,25,21,4
Spring2017,31639,AC 0344,01,3.000,Individual Taxation: Socioeconomic Applications,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'DSB 111'}]",['MW 0500pm-0615pm 01/17-05/02 DSB 111'],Joseph R.  D'Agostin,15,14,1
Spring2017,31090,AC 0345,01,3.000,Federal Income Taxation II,"[{'days': 'MW', 'times': '0630pm-0900pm', 'dates': '01/17-03/08', 'location': 'DSB 2109A'}]",['MW 0630pm-0900pm 01/17-03/08 DSB 2109A'],Kathi M.  Mettler,15,11,4
Spring2017,32020,AC 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,9,-9
Spring2017,32981,AC 0392,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,0,0
Spring2017,32507,AC 0394,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,0,0,0
Spring2017,33125,AC 0398,AE,3.000,Independent Study,[],[],Ahmed M.  Ebrahim,0,2,-2
Spring2017,33042,AC 0398,DM,3.000,Independent Study,[],[],Dawn W  Massey,0,1,-1
Spring2017,33004,AC 0398,JL,3.000,Ind Study: Honors Thesis,[],[],Joan L.  Lee,0,1,-1
Spring2017,33076,AC 0398,PC,3.000,Ind Study: Honors Thesis,[],[],Paul   Caster,0,1,-1
Spring2017,33070,AC 0398,RB,3.000,Independent Study,[],[],Rebecca I.  Bloch,0,1,-1
Spring2017,31827,AC 0500,01,3.000,Accounting Information for Decision-Making,"[{'days': 'W', 'times': '0630pm-0930pm', 'dates': '01/17-05/12', 'location': 'DSB 112'}]",['W 0630pm-0930pm 01/17-05/12 DSB 112'],Michael P.  Coyne,25,23,2
Spring2017,31650,AC 0550,01,3.000,Accounting Information Systems and Technology,"[{'days': 'MW', 'times': '0630pm-0930pm', 'dates': '03/27-05/10', 'location': 'DSB 107'}]",['MW 0630pm-0930pm 03/27-05/10 DSB 107'],Bruce   Bradford,25,18,7
Spring2017,31828,AC 0555,01,3.000,Issues in Internal Audit,"[{'days': 'R', 'times': '1000am-0600pm', 'dates': '03/16-03/16', 'location': 'DSB 115'}, {'days': 'S', 'times': '1000am-0600pm', 'dates': '03/18-03/18', 'location': 'DSB 115'}, {'days': 'MW', 'times': '0200pm-1000pm', 'dates': '03/20-03/22', 'location': 'NYS 101'}]","['R 1000am-0600pm 03/16-03/16 DSB 115', 'S 1000am-0600pm 03/18-03/18 DSB 115', 'MW 0200pm-1000pm 03/20-03/22 NYS 101']",Dawn W  Massey,15,19,-4
Spring2017,31651,AC 0560,01,3.000,Audit Issues in a Global Environment,"[{'days': 'S', 'times': '0930am-0600pm', 'dates': '03/25-03/25', 'location': 'DSB 111'}, {'days': 'M', 'times': '0155pm-0455pm', 'dates': '03/27-05/08', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/01-04/01', 'location': 'DSB 111'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/22-04/22', 'location': 'DSB 111'}]","['S 0930am-0600pm 03/25-03/25 DSB 111', 'M 0155pm-0455pm 03/27-05/08 DSB 2109A', 'S 0930am-0600pm 04/01-04/01 DSB 111', 'S 0930am-0600pm 04/22-04/22 DSB 111']",Paul   Caster,15,17,-2
