term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,39206,SW 0205,B,3.000,Software Testing and Maintenance,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",['M 0630pm-0900pm 01/19-05/03 BNW 254'],Thomas   Galasso,0,3,-3
Spring2016,38937,SW 0355,A,3.000,Database Management Systems,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",['R 0630pm-0900pm 01/19-05/03 BNW 129B'],Joseph   Corcoran,5,2,3
Spring2016,37285,SW 0400,01,3.000,Software Engineering Methods,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",['M 0630pm-0900pm 01/19-05/03 BNW GR22'],Amalia I.  Rusu,17,14,3
Spring2016,37259,SW 0401,01,3.000,Software Design Methods,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",['W 1100am-0130pm 01/19-05/03 BNW 166'],Amalia I.  Rusu,20,7,13
Spring2016,38938,SW 0402,01,3.000,Database Management Systems,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",['R 0630pm-0900pm 01/19-05/03 BNW 129B'],Joseph   Corcoran,10,9,1
Spring2016,38288,SW 0407,01,3.000,Java for Programmers,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/20-05/13', 'location': 'BNW 166'}]",['W 0200pm-0430pm 01/20-05/13 BNW 166'],Wook-Sung   Yoo,24,24,0
Spring2016,37168,SW 0409,01,3.000,Advanced Programming in Java,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/21-05/13', 'location': 'BNW 166'}]",['R 0630pm-0900pm 01/21-05/13 BNW 166'],Thomas   Galasso,25,18,7
Spring2016,37844,SW 0420,01,3.000,Software Testing and Maintenance,"[{'days': 'F', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}]",['F 0200pm-0430pm 01/19-05/03 BNW 341'],Amalia I.  Rusu,10,16,-6
Spring2016,39205,SW 0420,02,3.000,Software Testing and Maintenance,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",['M 0630pm-0900pm 01/19-05/03 BNW 254'],Thomas   Galasso,16,14,2
Spring2016,37275,SW 0427,01,3.000,Operating Systems and Programming,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'CNS 304'}]",['W 0630pm-0900pm 01/19-05/03 CNS 304'],Joseph   Corcoran,15,14,1
