term,crn,location,day,start,end
Summer2016,56372,DSB 115,F,2016-05-27T10:00:00,2016-05-27T12:30:00
Summer2016,56372,DSB 115,M,2016-05-30T10:00:00,2016-05-30T12:30:00
Summer2016,56372,DSB 115,W,2016-06-01T10:00:00,2016-06-01T12:30:00
Summer2016,56372,DSB 115,F,2016-06-03T10:00:00,2016-06-03T12:30:00
Summer2016,56372,DSB 115,M,2016-06-06T10:00:00,2016-06-06T12:30:00
Summer2016,56372,DSB 115,W,2016-06-08T10:00:00,2016-06-08T12:30:00
Summer2016,56372,DSB 115,F,2016-06-10T10:00:00,2016-06-10T12:30:00
Summer2016,56372,DSB 115,M,2016-06-13T10:00:00,2016-06-13T12:30:00
Summer2016,56372,DSB 115,W,2016-06-15T10:00:00,2016-06-15T12:30:00
Summer2016,56372,DSB 115,F,2016-06-17T10:00:00,2016-06-17T12:30:00
Summer2016,56372,DSB 115,M,2016-06-20T10:00:00,2016-06-20T12:30:00
Summer2016,56372,DSB 115,W,2016-06-22T10:00:00,2016-06-22T12:30:00
Summer2016,56372,DSB 115,F,2016-06-24T10:00:00,2016-06-24T12:30:00
Summer2016,56372,DSB 115,M,2016-06-27T10:00:00,2016-06-27T12:30:00
Summer2016,56372,DSB 115,W,2016-06-29T10:00:00,2016-06-29T12:30:00
Summer2016,56193,DSB 112,M,2016-05-23T18:00:00,2016-05-23T21:30:00
Summer2016,56193,DSB 112,M,2016-05-30T18:00:00,2016-05-30T21:30:00
Summer2016,56193,DSB 112,W,2016-06-01T18:00:00,2016-06-01T21:30:00
Summer2016,56193,DSB 112,M,2016-06-06T18:00:00,2016-06-06T21:30:00
Summer2016,56193,DSB 112,W,2016-06-08T18:00:00,2016-06-08T21:30:00
Summer2016,56193,DSB 112,M,2016-06-13T18:00:00,2016-06-13T21:30:00
Summer2016,56193,DSB 112,W,2016-06-15T18:00:00,2016-06-15T21:30:00
Summer2016,56193,DSB 112,M,2016-06-20T18:00:00,2016-06-20T21:30:00
Summer2016,56193,DSB 112,W,2016-06-22T18:00:00,2016-06-22T21:30:00
Summer2016,56193,DSB 112,M,2016-06-27T18:00:00,2016-06-27T21:30:00
Summer2016,56193,DSB 112,W,2016-06-29T18:00:00,2016-06-29T21:30:00
Summer2016,56193,DSB 112,M,2016-05-23T18:00:00,2016-05-23T21:30:00
Summer2016,56193,DSB 112,M,2016-05-30T18:00:00,2016-05-30T21:30:00
Summer2016,56193,DSB 112,W,2016-06-01T18:00:00,2016-06-01T21:30:00
Summer2016,56193,DSB 112,M,2016-06-06T18:00:00,2016-06-06T21:30:00
Summer2016,56193,DSB 112,W,2016-06-08T18:00:00,2016-06-08T21:30:00
Summer2016,56193,DSB 112,M,2016-06-13T18:00:00,2016-06-13T21:30:00
Summer2016,56193,DSB 112,W,2016-06-15T18:00:00,2016-06-15T21:30:00
Summer2016,56193,DSB 112,M,2016-06-20T18:00:00,2016-06-20T21:30:00
Summer2016,56193,DSB 112,W,2016-06-22T18:00:00,2016-06-22T21:30:00
Summer2016,56193,DSB 112,M,2016-06-27T18:00:00,2016-06-27T21:30:00
Summer2016,56193,DSB 112,W,2016-06-29T18:00:00,2016-06-29T21:30:00
Summer2016,56193,DSB 112,R,2016-06-02T18:00:00,2016-06-02T21:30:00
Summer2016,56194,DSB 106,M,2016-07-18T18:00:00,2016-07-18T21:30:00
Summer2016,56194,DSB 106,W,2016-07-20T18:00:00,2016-07-20T21:30:00
Summer2016,56194,DSB 106,M,2016-07-25T18:00:00,2016-07-25T21:30:00
Summer2016,56194,DSB 106,W,2016-07-27T18:00:00,2016-07-27T21:30:00
Summer2016,56194,DSB 106,M,2016-08-01T18:00:00,2016-08-01T21:30:00
Summer2016,56194,DSB 106,W,2016-08-03T18:00:00,2016-08-03T21:30:00
Summer2016,56194,DSB 106,M,2016-08-08T18:00:00,2016-08-08T21:30:00
Summer2016,56194,DSB 106,W,2016-08-10T18:00:00,2016-08-10T21:30:00
Summer2016,56194,DSB 106,M,2016-08-15T18:00:00,2016-08-15T21:30:00
Summer2016,56194,DSB 106,W,2016-08-17T18:00:00,2016-08-17T21:30:00
Summer2016,56194,DSB 106,M,2016-07-18T18:00:00,2016-07-18T21:30:00
Summer2016,56194,DSB 106,W,2016-07-20T18:00:00,2016-07-20T21:30:00
Summer2016,56194,DSB 106,M,2016-07-25T18:00:00,2016-07-25T21:30:00
Summer2016,56194,DSB 106,W,2016-07-27T18:00:00,2016-07-27T21:30:00
Summer2016,56194,DSB 106,M,2016-08-01T18:00:00,2016-08-01T21:30:00
Summer2016,56194,DSB 106,W,2016-08-03T18:00:00,2016-08-03T21:30:00
Summer2016,56194,DSB 106,M,2016-08-08T18:00:00,2016-08-08T21:30:00
Summer2016,56194,DSB 106,W,2016-08-10T18:00:00,2016-08-10T21:30:00
Summer2016,56194,DSB 106,M,2016-08-15T18:00:00,2016-08-15T21:30:00
Summer2016,56194,DSB 106,W,2016-08-17T18:00:00,2016-08-17T21:30:00
Summer2016,56194,DSB 106,R,2016-08-11T18:00:00,2016-08-11T21:30:00
Summer2016,56221,DSB 111,W,2016-06-01T18:00:00,2016-06-01T21:30:00
Summer2016,56221,DSB 111,W,2016-06-08T18:00:00,2016-06-08T21:30:00
Summer2016,56221,DSB 111,W,2016-06-15T18:00:00,2016-06-15T21:30:00
Summer2016,56221,DSB 111,W,2016-06-22T18:00:00,2016-06-22T21:30:00
Summer2016,56221,DSB 111,W,2016-06-29T18:00:00,2016-06-29T21:30:00
Summer2016,56222,DSB 111,W,2016-06-01T18:00:00,2016-06-01T21:30:00
Summer2016,56222,DSB 111,W,2016-06-08T18:00:00,2016-06-08T21:30:00
Summer2016,56222,DSB 111,W,2016-06-15T18:00:00,2016-06-15T21:30:00
Summer2016,56222,DSB 111,W,2016-06-22T18:00:00,2016-06-22T21:30:00
Summer2016,56222,DSB 111,W,2016-06-29T18:00:00,2016-06-29T21:30:00
Summer2016,56179,DSB 111,T,2016-05-24T09:00:00,2016-05-24T12:15:00
Summer2016,56179,DSB 111,F,2016-05-27T09:00:00,2016-05-27T12:15:00
Summer2016,56179,DSB 111,T,2016-05-31T09:00:00,2016-05-31T12:15:00
Summer2016,56179,DSB 111,F,2016-06-03T09:00:00,2016-06-03T12:15:00
Summer2016,56179,DSB 111,T,2016-06-07T09:00:00,2016-06-07T12:15:00
Summer2016,56179,DSB 111,F,2016-06-10T09:00:00,2016-06-10T12:15:00
Summer2016,56179,DSB 111,T,2016-06-14T09:00:00,2016-06-14T12:15:00
Summer2016,56179,DSB 111,F,2016-06-17T09:00:00,2016-06-17T12:15:00
Summer2016,56179,DSB 111,T,2016-06-21T09:00:00,2016-06-21T12:15:00
Summer2016,56179,DSB 111,F,2016-06-24T09:00:00,2016-06-24T12:15:00
Summer2016,56179,DSB 111,T,2016-06-28T09:00:00,2016-06-28T12:15:00
Summer2016,56179,DSB 110A,T,2016-05-24T09:00:00,2016-05-24T12:15:00
Summer2016,56179,DSB 110A,F,2016-05-27T09:00:00,2016-05-27T12:15:00
Summer2016,56179,DSB 110A,T,2016-05-31T09:00:00,2016-05-31T12:15:00
Summer2016,56179,DSB 110A,F,2016-06-03T09:00:00,2016-06-03T12:15:00
Summer2016,56179,DSB 110A,T,2016-06-07T09:00:00,2016-06-07T12:15:00
Summer2016,56179,DSB 110A,F,2016-06-10T09:00:00,2016-06-10T12:15:00
Summer2016,56179,DSB 110A,T,2016-06-14T09:00:00,2016-06-14T12:15:00
Summer2016,56179,DSB 110A,F,2016-06-17T09:00:00,2016-06-17T12:15:00
Summer2016,56179,DSB 110A,T,2016-06-21T09:00:00,2016-06-21T12:15:00
Summer2016,56179,DSB 110A,F,2016-06-24T09:00:00,2016-06-24T12:15:00
Summer2016,56179,DSB 110A,T,2016-06-28T09:00:00,2016-06-28T12:15:00
Summer2016,56179,DSB 110A,W,2016-06-15T09:00:00,2016-06-15T12:15:00
Summer2016,56179,DSB 111,T,2016-05-24T09:00:00,2016-05-24T12:15:00
Summer2016,56179,DSB 111,F,2016-05-27T09:00:00,2016-05-27T12:15:00
Summer2016,56179,DSB 111,T,2016-05-31T09:00:00,2016-05-31T12:15:00
Summer2016,56179,DSB 111,F,2016-06-03T09:00:00,2016-06-03T12:15:00
Summer2016,56179,DSB 111,T,2016-06-07T09:00:00,2016-06-07T12:15:00
Summer2016,56179,DSB 111,F,2016-06-10T09:00:00,2016-06-10T12:15:00
Summer2016,56179,DSB 111,T,2016-06-14T09:00:00,2016-06-14T12:15:00
Summer2016,56179,DSB 111,F,2016-06-17T09:00:00,2016-06-17T12:15:00
Summer2016,56179,DSB 111,T,2016-06-21T09:00:00,2016-06-21T12:15:00
Summer2016,56179,DSB 111,F,2016-06-24T09:00:00,2016-06-24T12:15:00
Summer2016,56179,DSB 111,T,2016-06-28T09:00:00,2016-06-28T12:15:00
Summer2016,56179,DSB 111,W,2016-06-15T09:00:00,2016-06-15T12:15:00
Summer2016,56179,DSB 111,W,2016-06-29T09:00:00,2016-06-29T12:15:00
Summer2016,56180,DSB 111,T,2016-05-24T13:45:00,2016-05-24T17:00:00
Summer2016,56180,DSB 111,F,2016-05-27T13:45:00,2016-05-27T17:00:00
Summer2016,56180,DSB 111,T,2016-05-31T13:45:00,2016-05-31T17:00:00
Summer2016,56180,DSB 111,F,2016-06-03T13:45:00,2016-06-03T17:00:00
