term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2017,72755,BI 0071,01,3.000,Identity and the Human Genome,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'BNW 332'}]",['TF 0930am-1045am 09/05-12/11 BNW 332'],Olivia T.  Harriott,24,22,2
Fall2017,71900,BI 0073,01,3.000,Contemporary Nutrition: Food for Thought,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/05-12/11', 'location': 'BNW 333'}]",['MR 0930am-1045am 09/05-12/11 BNW 333'],Jacqueline A  Vernarelli,24,24,0
Fall2017,72190,BI 0076,01,3.000,Environmental Science,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/05-12/11', 'location': 'BNW 341'}]",['MR 0200pm-0315pm 09/05-12/11 BNW 341'],James E.  Biardi,12,12,0
Fall2017,72756,BI 0076,02,3.000,Environmental Science,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/05-12/11', 'location': 'BNW 332'}]",['MR 0330pm-0445pm 09/05-12/11 BNW 332'],James E.  Biardi,12,10,2
Fall2017,72954,BI 0076,03,3.000,Environmental Science,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'BNW 332'}]",['MR 1100am-1215pm 09/05-12/11 BNW 332'],James E.  Biardi,24,25,-1
Fall2017,71883,BI 0078,01,3.000,Introduction to Marine Science,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '09/05-12/11', 'location': 'BNW GR22'}]",['W 0200pm-0430pm 09/05-12/11 BNW GR22'],Clinton J.  Moran,24,24,0
Fall2017,71884,BI 0078,02,3.000,Introduction to Marine Science,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/05-12/11', 'location': 'BNW 137'}]",['TR 0500pm-0615pm 09/05-12/11 BNW 137'],Brian D.  Ortman,24,25,-1
Fall2017,71659,BI 0107,01,4.000,Human Anatomy and Physiology I,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['MR 1100am-1215pm 09/05-12/11 NHS 224'],Christine   Earls,14,17,-3
Fall2017,71810,BI 0107,01C,4.000,Human Anatomy and Physiology I,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['MR 1100am-1215pm 09/05-12/11 NHS 224'],Christine   Earls,0,72,-72
Fall2017,71935,BI 0107,02,4.000,Human Anatomy and Physiology I,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['MR 1230pm-0145pm 09/05-12/11 NHS 224'],Anthony J.  DeCristofaro,23,23,0
Fall2017,71936,BI 0107,02C,4.000,Human Anatomy and Physiology I,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/05-12/11', 'location': 'NHS 224'}]",['MR 1230pm-0145pm 09/05-12/11 NHS 224'],Anthony J.  DeCristofaro,0,70,-70
Fall2017,71482,BI 0107L,01,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'M', 'times': '0100pm-0350pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['M 0100pm-0350pm 09/05-12/11 BNW 240'],Christine   Earls,20,18,2
Fall2017,71486,BI 0107L,02,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'T', 'times': '0900am-1150am', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['T 0900am-1150am 09/05-12/11 BNW 240'],Debra S.  Sauer,20,18,2
Fall2017,71509,BI 0107L,03,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'W', 'times': '0830am-1120am', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['W 0830am-1120am 09/05-12/11 BNW 240'],Anthony J.  DeCristofaro,20,20,0
Fall2017,71510,BI 0107L,04,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'W', 'times': '1230pm-0320pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['W 1230pm-0320pm 09/05-12/11 BNW 240'],Anthony J.  DeCristofaro,20,20,0
Fall2017,71511,BI 0107L,05,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'W', 'times': '0530pm-0820pm', 'dates': '09/05-12/11', 'location': 'BNW 240'}]",['W 0530pm-0820pm 09/05-12/11 BNW 240'],John F.  Karpinski,20,17,3
