term,crn,location,day,start,end
Summer2017,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
Summer2017,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
Summer2017,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
Summer2017,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
Summer2017,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
Summer2017,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
Summer2017,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
Summer2017,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
Summer2017,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
Summer2017,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
Summer2017,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
Summer2017,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
Summer2017,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
Summer2017,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
Summer2017,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
Summer2017,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
Summer2017,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
Summer2017,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
Summer2017,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
Summer2017,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
Summer2017,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
Summer2017,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
Summer2017,57138,DSB 112,R,2017-06-01T18:00:00,2017-06-01T21:30:00
Summer2017,57139,DSB 112,M,2017-07-10T18:00:00,2017-07-10T21:30:00
Summer2017,57139,DSB 112,W,2017-07-12T18:00:00,2017-07-12T21:30:00
Summer2017,57139,DSB 112,M,2017-07-17T18:00:00,2017-07-17T21:30:00
Summer2017,57139,DSB 112,W,2017-07-19T18:00:00,2017-07-19T21:30:00
Summer2017,57139,DSB 112,M,2017-07-24T18:00:00,2017-07-24T21:30:00
Summer2017,57139,DSB 112,W,2017-07-26T18:00:00,2017-07-26T21:30:00
Summer2017,57139,DSB 112,M,2017-07-31T18:00:00,2017-07-31T21:30:00
Summer2017,57139,DSB 112,W,2017-08-02T18:00:00,2017-08-02T21:30:00
Summer2017,57139,DSB 112,M,2017-08-07T18:00:00,2017-08-07T21:30:00
Summer2017,57139,DSB 112,W,2017-08-09T18:00:00,2017-08-09T21:30:00
Summer2017,57139,DSB 112,M,2017-08-14T18:00:00,2017-08-14T21:30:00
Summer2017,57332,DSB 115,M,2017-05-22T18:00:00,2017-05-22T21:30:00
Summer2017,57332,DSB 115,W,2017-05-24T18:00:00,2017-05-24T21:30:00
Summer2017,57332,DSB 115,W,2017-05-31T18:00:00,2017-05-31T21:30:00
Summer2017,57332,DSB 115,M,2017-06-05T18:00:00,2017-06-05T21:30:00
Summer2017,57332,DSB 115,W,2017-06-07T18:00:00,2017-06-07T21:30:00
Summer2017,57332,DSB 115,M,2017-06-12T18:00:00,2017-06-12T21:30:00
Summer2017,57332,DSB 115,W,2017-06-14T18:00:00,2017-06-14T21:30:00
Summer2017,57332,DSB 115,M,2017-06-19T18:00:00,2017-06-19T21:30:00
Summer2017,57332,DSB 115,M,2017-05-22T08:30:00,2017-05-22T16:30:00
Summer2017,57332,DSB 115,W,2017-05-24T08:30:00,2017-05-24T16:30:00
Summer2017,57332,DSB 115,W,2017-05-31T08:30:00,2017-05-31T16:30:00
Summer2017,57332,DSB 115,M,2017-06-05T08:30:00,2017-06-05T16:30:00
Summer2017,57332,DSB 115,W,2017-06-07T08:30:00,2017-06-07T16:30:00
Summer2017,57332,DSB 115,M,2017-06-12T08:30:00,2017-06-12T16:30:00
Summer2017,57332,DSB 115,W,2017-06-14T08:30:00,2017-06-14T16:30:00
Summer2017,57332,DSB 115,M,2017-06-19T08:30:00,2017-06-19T16:30:00
