term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Winter2017,11705,AH 0172,OL1,3.000,History of Photography,[],[],Lauren Elise  Cesiro,20,18,2
Winter2017,11706,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,20,21,-1
Winter2017,11724,BI 0075,OL2,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,20,19,1
Winter2017,11701,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DSB 109'}]",['MTWRF 0830am-0430pm 01/04-01/10 DSB 109'],Sharlene A.  McEvoy,25,20,5
Winter2017,11707,CO 0100,OL1,3.000,Human Communication Theories,[],[],David   Gudelunas,20,19,1
Winter2017,11708,CO 0240,OL1,3.000,Intercultural Communication,[],[],Qin   Zhang,20,16,4
Winter2017,11709,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 350'}]",['MTWRF 0830am-0430pm 01/04-01/10 DMH 350'],Margaret A.  Wills,15,15,0
Winter2017,11710,EC 0012,OL1,3.000,Introduction to Macroeconomics,[],[],William F.  Vasquez Mazariegos,20,12,8
Winter2017,11711,EN 0101,OL1,3.000,Introduction to Literary and Cultural Studies,[],[],Gita   Rajan,20,8,12
Winter2017,11712,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,[],[],Jacqueline   Rinaldi,20,17,3
Winter2017,11725,ENW 0444,01,6.000,Fiction: Part I,[],[],Sonya R.  Huber,0,1,-1
Winter2017,11703,FI 0500,01,3.000,Shareholder Value,"[{'days': 'MTWRF', 'times': '0600pm-1000pm', 'dates': '01/06-01/13', 'location': 'DSB 114'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/07-01/14', 'location': 'DSB 114'}]","['MTWRF 0600pm-1000pm 01/06-01/13 DSB 114', 'S 0830am-0430pm 01/07-01/14 DSB 114']",Thomas E.  Conine,16,14,2
Winter2017,11722,HI 0399,DM,3.000,Independent Study,[],[],David W.  McFadden,0,1,-1
Winter2017,11702,MG 0500,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/02-01/14', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/07-01/14', 'location': 'DSB 115'}]","['MTWR 0600pm-0930pm 01/02-01/14 DSB 115', 'S 0830am-0430pm 01/07-01/14 DSB 115']",Lisa A.  Mainiero,25,16,9
Winter2017,11713,MU 0101,01,3.000,The History of Jazz,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'JGS 25'}]",['MTWRF 0830am-0430pm 01/04-01/10 JGS 25'],Brian Q.  Torff,15,10,5
Winter2017,11727,NS 0687,01,1.000-6.000,DNP Immersion,[],[],Joyce Muriel  Shea,30,3,27
Winter2017,11715,PS 0078,OL1,3.000,The Nature of the Universe,[],[],Joachim   Kuhn,20,21,-1
Winter2017,11714,PO 0133,OL1,3.000,United States Foreign Policy,[],[],Lucrecia   Garcia Iommi,20,11,9
Winter2017,11717,RS 0101D,OL1,3.000,Exploring Religion: Religion in a Comparative Key,[],[],Erik J.  Ranstrom,20,20,0
Winter2017,11719,SO 0279,01,3.000,Criminal Justice System Seminar,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 231'}]",['MTWRF 0830am-0430pm 01/04-01/10 DMH 231'],Rose P.  Rodrigues,15,13,2
