term,crn,location,day,start,end
Winter2017,11701,DSB 109,W,2017-01-04T08:30:00,2017-01-04T16:30:00
Winter2017,11701,DSB 109,R,2017-01-05T08:30:00,2017-01-05T16:30:00
Winter2017,11701,DSB 109,F,2017-01-06T08:30:00,2017-01-06T16:30:00
Winter2017,11701,DSB 109,M,2017-01-09T08:30:00,2017-01-09T16:30:00
Winter2017,11701,DSB 109,T,2017-01-10T08:30:00,2017-01-10T16:30:00
Winter2017,11709,DMH 350,W,2017-01-04T08:30:00,2017-01-04T16:30:00
Winter2017,11709,DMH 350,R,2017-01-05T08:30:00,2017-01-05T16:30:00
Winter2017,11709,DMH 350,F,2017-01-06T08:30:00,2017-01-06T16:30:00
Winter2017,11709,DMH 350,M,2017-01-09T08:30:00,2017-01-09T16:30:00
Winter2017,11709,DMH 350,T,2017-01-10T08:30:00,2017-01-10T16:30:00
Winter2017,11703,DSB 114,F,2017-01-06T18:00:00,2017-01-06T22:00:00
Winter2017,11703,DSB 114,M,2017-01-09T18:00:00,2017-01-09T22:00:00
Winter2017,11703,DSB 114,T,2017-01-10T18:00:00,2017-01-10T22:00:00
Winter2017,11703,DSB 114,W,2017-01-11T18:00:00,2017-01-11T22:00:00
Winter2017,11703,DSB 114,R,2017-01-12T18:00:00,2017-01-12T22:00:00
Winter2017,11703,DSB 114,F,2017-01-13T18:00:00,2017-01-13T22:00:00
Winter2017,11703,DSB 114,S,2017-01-07T08:30:00,2017-01-07T16:30:00
Winter2017,11703,DSB 114,S,2017-01-14T08:30:00,2017-01-14T16:30:00
Winter2017,11702,DSB 115,M,2017-01-02T18:00:00,2017-01-02T21:30:00
Winter2017,11702,DSB 115,T,2017-01-03T18:00:00,2017-01-03T21:30:00
Winter2017,11702,DSB 115,W,2017-01-04T18:00:00,2017-01-04T21:30:00
Winter2017,11702,DSB 115,R,2017-01-05T18:00:00,2017-01-05T21:30:00
Winter2017,11702,DSB 115,M,2017-01-09T18:00:00,2017-01-09T21:30:00
Winter2017,11702,DSB 115,T,2017-01-10T18:00:00,2017-01-10T21:30:00
Winter2017,11702,DSB 115,W,2017-01-11T18:00:00,2017-01-11T21:30:00
Winter2017,11702,DSB 115,R,2017-01-12T18:00:00,2017-01-12T21:30:00
Winter2017,11702,DSB 115,S,2017-01-07T08:30:00,2017-01-07T16:30:00
Winter2017,11702,DSB 115,S,2017-01-14T08:30:00,2017-01-14T16:30:00
Winter2017,11713,JGS 25,W,2017-01-04T08:30:00,2017-01-04T16:30:00
Winter2017,11713,JGS 25,R,2017-01-05T08:30:00,2017-01-05T16:30:00
Winter2017,11713,JGS 25,F,2017-01-06T08:30:00,2017-01-06T16:30:00
Winter2017,11713,JGS 25,M,2017-01-09T08:30:00,2017-01-09T16:30:00
Winter2017,11713,JGS 25,T,2017-01-10T08:30:00,2017-01-10T16:30:00
Winter2017,11719,DMH 231,W,2017-01-04T08:30:00,2017-01-04T16:30:00
Winter2017,11719,DMH 231,R,2017-01-05T08:30:00,2017-01-05T16:30:00
Winter2017,11719,DMH 231,F,2017-01-06T08:30:00,2017-01-06T16:30:00
Winter2017,11719,DMH 231,M,2017-01-09T08:30:00,2017-01-09T16:30:00
Winter2017,11719,DMH 231,T,2017-01-10T08:30:00,2017-01-10T16:30:00
Winter2017,11720,CNS 15,T,2017-01-03T16:30:00,2017-01-03T19:30:00
Winter2017,11720,CNS 15,W,2017-01-04T16:30:00,2017-01-04T19:30:00
Winter2017,11720,CNS 15,R,2017-01-05T16:30:00,2017-01-05T19:30:00
Winter2017,11720,CNS 15,M,2017-01-09T16:30:00,2017-01-09T19:30:00
Winter2017,11720,CNS 15,T,2017-01-10T16:30:00,2017-01-10T19:30:00
Winter2017,11720,CNS 15,W,2017-01-11T16:30:00,2017-01-11T19:30:00
Winter2017,11720,CNS 15,R,2017-01-12T16:30:00,2017-01-12T19:30:00
Winter2017,11720,CNS 202,T,2017-01-03T16:30:00,2017-01-03T19:30:00
Winter2017,11720,CNS 202,W,2017-01-04T16:30:00,2017-01-04T19:30:00
