crn,catalog_id,section,credits,title,meetings,primary_instructor
32436,AC 0011,A,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",Dawn W  Massey
33880,AC 0011,B,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",Dawn W  Massey
33012,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 110A'}]",Rebecca I.  Bloch
33013,AC 0012,B,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",Rebecca I.  Bloch
33014,AC 0012,C,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",Rebecca I.  Bloch
32438,AC 0012,D,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Michael P.  Coyne
31934,AC 0012,E,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Michael P.  Coyne
32060,AC 0012,G,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
32193,AC 0012,H,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",Jo Ann   Drusbosky
32437,AC 0012,I,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",Jo Ann   Drusbosky
32061,AC 0012,J,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Arleen N.  Kardos
32058,AC 0012,K,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Arleen N.  Kardos
32059,AC 0012,L,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",Joseph R.  D'Agostin
32037,AC 0012,M,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Paul   Caster
32815,AC 0012,N,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",Paul   Caster
33750,AC 0012,O,3.000,Introduction to Management Accounting,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",Kevin C.  Cassidy
33751,AC 0012,P,3.000,Introduction to Management Accounting,"[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",Kevin C.  Cassidy
32006,AC 0203,A,3.000,Intermediate Accounting I,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",Stephen E.  Yost
33015,AC 0203,AAA,3.000,Intermediate Accounting I,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",Stephen E.  Yost
31862,AC 0204,A,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 111'}]",Milo W.  Peck
31909,AC 0204,B,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 110A'}]",Milo W.  Peck
32194,AC 0204,C,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 110A'}]",Milo W.  Peck
32439,AC 0265,A,3.000,Accounting Information Systems,"[{'days': 'F', 'times': '0800am-1030am', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",Scott M  Brenner
32017,AC 0310,A,3.000,Advanced Accounting,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 115'}]",Ahmed M.  Ebrahim
32238,AC 0310,AAA,3.000,Advanced Accounting,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 115'}]",Ahmed M.  Ebrahim
32122,AC 0310,B,3.000,Advanced Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",Ahmed M.  Ebrahim
33016,AC 0310,C,3.000,Advanced Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",Ahmed M.  Ebrahim
33017,AC 0320,A,3.000,Cost Management,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",Bruce   Bradford
32302,AC 0320,B,3.000,Cost Management,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",Bruce   Bradford
32114,AC 0330,A,3.000,Auditing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",David L.  Glinka
32132,AC 0330,AAA,3.000,Auditing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",David L.  Glinka
32816,AC 0330,B,3.000,Auditing,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",Paul   Caster
32128,AC 0343,A,3.000,Federal Income Taxation I,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 115'}]",Kathi M.  Mettler
33879,AC 0343,B,3.000,Federal Income Taxation I,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 115'}]",Kathi M.  Mettler
32817,AC 0344,A,3.000,Individual Taxation: Socioeconomic Applications,"[{'days': 'MR', 'times': '0500pm-0615pm', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",Joseph R.  D'Agostin
33749,AC 0344,AAA,3.000,Individual Taxation: Socioeconomic Applications,"[{'days': 'MR', 'times': '0500pm-0615pm', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",Joseph R.  D'Agostin
