crn,catalog_id,section,credits,title,meetings,primary_instructor
10913,AC 0555,01,3.000,Issues in Internal Audit,"[{'days': 'MTWRF', 'times': '1000am-0600pm', 'dates': '01/05-01/17', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/17', 'location': 'DSB 115'}]",Dawn W  Massey
10910,AH 0011,01,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Lauren Elise  Cesiro
10893,BI 0075,01,3.000,Ecology and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Thomas B.  Cunningham
10916,BI 0075,02,3.000,Ecology and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Thomas B.  Cunningham
10911,BU 0211,A,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/05-01/09', 'location': 'DSB 109'}]",Sharlene A.  McEvoy
10894,CO 0100,01,3.000,Human Communication Theories,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",David   Gudelunas
10895,CO 0240,01,3.000,Intercultural Communication,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Qin   Zhang
10896,CO 0246,A,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/05-01/09', 'location': 'DMH 347'}]",Margaret A.  Wills
10897,CO 0398,A,1.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/05-01/19', 'location': 'BY ARR '}]",David   Gudelunas
10898,EC 0011,01,3.000,Introduction to Microeconomics,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",William F.  Vasquez Mazariegos
10907,MD 0463,01,3.000,Methods for School Library Media,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/05-02/04', 'location': 'ONLINE '}]",Gayle A.  Bogel
10900,EN 0101,01,3.000,Introduction to Literary and Cultural Studies,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/01-01/30', 'location': 'ONLINE '}]",Gita   Rajan
10919,EN 0101,02,3.000,Introduction to Literary and Cultural Studies,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/01-01/30', 'location': 'ONLINE '}]",Gita   Rajan
10901,ENW 0332,01,3.000,Business Writing,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Maeve L.  Lucey
10918,ENW 0444,01,6.000,Fiction: Part I,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/05-01/17', 'location': 'BY ARR '}]",Michael C.  White
10912,IS 0500,01,3.000,Information Systems and Database Management,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/05-01/17', 'location': 'DSB 107'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/17', 'location': 'DSB 107'}]",Jay   Krishnamoorthy
10909,MG 0500,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/05-01/17', 'location': 'DSB 111'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/17', 'location': 'DSB 111'}]",Lisa A.  Mainiero
10902,MA 0017,01,3.000,Introduction to Probability and Statistics,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Robert James  Parisi
10903,MU 0102,A,3.000,History and Development of Rock,"[{'days': 'MTW', 'times': '0830am-0430pm', 'dates': '01/05-01/13', 'location': 'JGS 25'}]",Brian Q.  Torff
10920,NS 0687,D01,1.000-5.000,DNP Immersion,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/05-01/17', 'location': 'BY ARR '}]",Kathleen A.  Wheeler
10917,PS 0078,01,3.000,The Nature of the Universe,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Joachim   Kuhn
10904,PO 0133,01,3.000,United States Foreign Policy,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/28', 'location': 'ONLINE '}]",Lucrecia   Garcia Iommi
10908,MPA 0420,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/05-01/17', 'location': 'DSB 111'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/17', 'location': 'DSB 111'}]",Lisa A.  Mainiero
10906,SO 0279,A,3.000,Criminal Justice System Seminar,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/05-01/09', 'location': 'DMH 231'}]",Rose P.  Rodrigues
10905,SA 0139,A,3.000,Watercolor,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/05-01/09', 'location': 'LYL 8'}]",Suzanne   Chamlin-Richer
