term,crn,location,day,start,end
Winter2015,10913,DSB 115,M,2015-01-05T10:00:00,2015-01-05T18:00:00
Winter2015,10913,DSB 115,T,2015-01-06T10:00:00,2015-01-06T18:00:00
Winter2015,10913,DSB 115,W,2015-01-07T10:00:00,2015-01-07T18:00:00
Winter2015,10913,DSB 115,R,2015-01-08T10:00:00,2015-01-08T18:00:00
Winter2015,10913,DSB 115,F,2015-01-09T10:00:00,2015-01-09T18:00:00
Winter2015,10913,DSB 115,M,2015-01-12T10:00:00,2015-01-12T18:00:00
Winter2015,10913,DSB 115,T,2015-01-13T10:00:00,2015-01-13T18:00:00
Winter2015,10913,DSB 115,W,2015-01-14T10:00:00,2015-01-14T18:00:00
Winter2015,10913,DSB 115,R,2015-01-15T10:00:00,2015-01-15T18:00:00
Winter2015,10913,DSB 115,F,2015-01-16T10:00:00,2015-01-16T18:00:00
Winter2015,10913,DSB 115,S,2015-01-10T08:30:00,2015-01-10T16:30:00
Winter2015,10913,DSB 115,S,2015-01-17T08:30:00,2015-01-17T16:30:00
Winter2015,10911,DSB 109,M,2015-01-05T08:30:00,2015-01-05T16:30:00
Winter2015,10911,DSB 109,T,2015-01-06T08:30:00,2015-01-06T16:30:00
Winter2015,10911,DSB 109,W,2015-01-07T08:30:00,2015-01-07T16:30:00
Winter2015,10911,DSB 109,R,2015-01-08T08:30:00,2015-01-08T16:30:00
Winter2015,10911,DSB 109,F,2015-01-09T08:30:00,2015-01-09T16:30:00
Winter2015,10896,DMH 347,M,2015-01-05T08:30:00,2015-01-05T16:30:00
Winter2015,10896,DMH 347,T,2015-01-06T08:30:00,2015-01-06T16:30:00
Winter2015,10896,DMH 347,W,2015-01-07T08:30:00,2015-01-07T16:30:00
Winter2015,10896,DMH 347,R,2015-01-08T08:30:00,2015-01-08T16:30:00
Winter2015,10896,DMH 347,F,2015-01-09T08:30:00,2015-01-09T16:30:00
Winter2015,10912,DSB 107,M,2015-01-05T18:00:00,2015-01-05T21:30:00
Winter2015,10912,DSB 107,T,2015-01-06T18:00:00,2015-01-06T21:30:00
Winter2015,10912,DSB 107,W,2015-01-07T18:00:00,2015-01-07T21:30:00
Winter2015,10912,DSB 107,R,2015-01-08T18:00:00,2015-01-08T21:30:00
Winter2015,10912,DSB 107,M,2015-01-12T18:00:00,2015-01-12T21:30:00
Winter2015,10912,DSB 107,T,2015-01-13T18:00:00,2015-01-13T21:30:00
