term,crn,location,day,start,end
Winter2018,11801,DSB 109,R,2018-01-04T08:30:00,2018-01-04T16:30:00
Winter2018,11801,DSB 109,F,2018-01-05T08:30:00,2018-01-05T16:30:00
Winter2018,11801,DSB 109,M,2018-01-08T08:30:00,2018-01-08T16:30:00
Winter2018,11801,DSB 109,T,2018-01-09T08:30:00,2018-01-09T16:30:00
Winter2018,11801,DSB 109,W,2018-01-10T08:30:00,2018-01-10T16:30:00
Winter2018,11809,DMH 350,R,2018-01-04T08:30:00,2018-01-04T16:30:00
Winter2018,11809,DMH 350,F,2018-01-05T08:30:00,2018-01-05T16:30:00
Winter2018,11809,DMH 350,M,2018-01-08T08:30:00,2018-01-08T16:30:00
Winter2018,11809,DMH 350,T,2018-01-09T08:30:00,2018-01-09T16:30:00
Winter2018,11809,DMH 350,W,2018-01-10T08:30:00,2018-01-10T16:30:00
Winter2018,11803,DSB 114,F,2018-01-05T18:00:00,2018-01-05T22:00:00
Winter2018,11803,DSB 114,M,2018-01-08T18:00:00,2018-01-08T22:00:00
Winter2018,11803,DSB 114,T,2018-01-09T18:00:00,2018-01-09T22:00:00
Winter2018,11803,DSB 114,W,2018-01-10T18:00:00,2018-01-10T22:00:00
Winter2018,11803,DSB 114,R,2018-01-11T18:00:00,2018-01-11T22:00:00
Winter2018,11803,DSB 114,F,2018-01-12T18:00:00,2018-01-12T22:00:00
Winter2018,11803,DSB 114,S,2018-01-06T08:30:00,2018-01-06T16:30:00
Winter2018,11803,DSB 114,S,2018-01-13T08:30:00,2018-01-13T16:30:00
Winter2018,11834,DSB 106,T,2018-01-02T18:30:00,2018-01-02T21:30:00
Winter2018,11834,DSB 106,W,2018-01-03T18:30:00,2018-01-03T21:30:00
Winter2018,11834,DSB 106,R,2018-01-04T18:30:00,2018-01-04T21:30:00
Winter2018,11834,DSB 106,F,2018-01-05T18:30:00,2018-01-05T21:30:00
Winter2018,11834,DSB 106,M,2018-01-08T18:30:00,2018-01-08T21:30:00
Winter2018,11834,DSB 106,T,2018-01-09T18:30:00,2018-01-09T21:30:00
Winter2018,11834,DSB 106,W,2018-01-10T18:30:00,2018-01-10T21:30:00
Winter2018,11834,DSB 106,R,2018-01-11T18:30:00,2018-01-11T21:30:00
Winter2018,11834,DSB 106,F,2018-01-12T18:30:00,2018-01-12T21:30:00
Winter2018,11834,DSB 106,S,2018-01-06T09:00:00,2018-01-06T17:30:00
Winter2018,11834,DSB 106,S,2018-01-13T09:00:00,2018-01-13T17:30:00
Winter2018,11802,DSB 115,T,2018-01-02T18:00:00,2018-01-02T21:30:00
Winter2018,11802,DSB 115,W,2018-01-03T18:00:00,2018-01-03T21:30:00
Winter2018,11802,DSB 115,R,2018-01-04T18:00:00,2018-01-04T21:30:00
Winter2018,11802,DSB 115,M,2018-01-08T18:00:00,2018-01-08T21:30:00
Winter2018,11802,DSB 115,T,2018-01-09T18:00:00,2018-01-09T21:30:00
Winter2018,11802,DSB 115,W,2018-01-10T18:00:00,2018-01-10T21:30:00
Winter2018,11802,DSB 115,R,2018-01-11T18:00:00,2018-01-11T21:30:00
Winter2018,11802,DSB 115,S,2018-01-06T08:30:00,2018-01-06T17:30:00
Winter2018,11802,DSB 115,S,2018-01-13T08:30:00,2018-01-13T17:30:00
Winter2018,11833,DSB 109,T,2018-01-02T18:00:00,2018-01-02T21:30:00
Winter2018,11833,DSB 109,W,2018-01-03T18:00:00,2018-01-03T21:30:00
Winter2018,11833,DSB 109,R,2018-01-04T18:00:00,2018-01-04T21:30:00
Winter2018,11833,DSB 109,F,2018-01-05T18:00:00,2018-01-05T21:30:00
Winter2018,11833,DSB 109,M,2018-01-08T18:00:00,2018-01-08T21:30:00
Winter2018,11833,DSB 109,T,2018-01-09T18:00:00,2018-01-09T21:30:00
Winter2018,11833,DSB 109,W,2018-01-10T18:00:00,2018-01-10T21:30:00
Winter2018,11833,DSB 109,R,2018-01-11T18:00:00,2018-01-11T21:30:00
Winter2018,11833,DSB 109,S,2018-01-06T08:30:00,2018-01-06T16:30:00
Winter2018,11833,DSB 109,S,2018-01-13T08:30:00,2018-01-13T16:30:00
Winter2018,11830,JGS 25,R,2018-01-04T08:30:00,2018-01-04T16:30:00
Winter2018,11830,JGS 25,F,2018-01-05T08:30:00,2018-01-05T16:30:00
Winter2018,11830,JGS 25,M,2018-01-08T08:30:00,2018-01-08T16:30:00
Winter2018,11830,JGS 25,T,2018-01-09T08:30:00,2018-01-09T16:30:00
Winter2018,11830,JGS 25,W,2018-01-10T08:30:00,2018-01-10T16:30:00
Winter2018,11819,DMH 331,R,2018-01-04T08:30:00,2018-01-04T16:30:00
Winter2018,11819,DMH 331,F,2018-01-05T08:30:00,2018-01-05T16:30:00
Winter2018,11819,DMH 331,M,2018-01-08T08:30:00,2018-01-08T16:30:00
Winter2018,11819,DMH 331,T,2018-01-09T08:30:00,2018-01-09T16:30:00
Winter2018,11819,DMH 331,W,2018-01-10T08:30:00,2018-01-10T16:30:00
Winter2018,11832,LYL 22,R,2018-01-04T08:30:00,2018-01-04T16:30:00
Winter2018,11832,LYL 22,F,2018-01-05T08:30:00,2018-01-05T16:30:00
Winter2018,11832,LYL 22,M,2018-01-08T08:30:00,2018-01-08T16:30:00
Winter2018,11832,LYL 22,T,2018-01-09T08:30:00,2018-01-09T16:30:00
Winter2018,11832,LYL 22,W,2018-01-10T08:30:00,2018-01-10T16:30:00
