crn,catalog_id,section,credits,title,meetings,primary_instructor
37327,RU 0211,A,3.000,Intermediate Russian II,"[{'days': 'MR', 'times': '1100am-1150am', 'dates': '01/19-05/03', 'location': 'CNS 5'}, {'days': 'W', 'times': '1000am-1050am', 'dates': '01/19-05/03', 'location': 'CNS 5'}]",Elena T.  Syssoeva
38981,RES 0310,A,3.000,"Capstone Seminar: Current Topics in Russia, Eastern Europe, and Central Asia","[{'days': '\xa0', 'times': 'TBA', 'dates': '01/19-05/03', 'location': 'BY ARR '}]",David W.  McFadden
37053,SO 0011,A,3.000,Introduction to Sociology,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'BNW 334'}]",Belinda A.  Quartey
37171,SO 0011,B,3.000,Introduction to Sociology,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW 334'}]",Belinda A.  Quartey
37485,SO 0011,C,3.000,Introduction to Sociology,"[{'days': 'MW', 'times': '0800pm-0915pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}]",Eric   Mielants
38495,SO 0011,D,3.000,Introduction to Sociology,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'DMH 349'}]",Rose P.  Rodrigues
37191,SO 0162,A,3.000,"Race, Gender, and Ethnic Relations","[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DMH 349'}]",Rachelle J.  Brunn-Bevel
37920,SO 0162,B,3.000,"Race, Gender, and Ethnic Relations","[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'CNS 10'}]",Rachelle J.  Brunn-Bevel
38822,SO 0166,A,3.000,"Feminism, Gender, and Everyday Life","[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'CNS 305'}]",Peggy L.  Delfino
38823,SO 0166,B,3.000,"Feminism, Gender, and Everyday Life","[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'CNS 305'}]",Peggy L.  Delfino
37921,SO 0171,A,3.000,Criminology,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DMH 347'}]",Rose P.  Rodrigues
37261,SO 0175,A,3.000,Sociology of Law,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DMH 347'}]",Rose P.  Rodrigues
38824,SO 0185,A,3.000,Introduction to International Migration,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'DMH 231'}]",Terry-Ann   Jones
38193,SO 0190,A,3.000,Globalization,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '01/19-05/03', 'location': 'DMH 350'}]",Eric   Mielants
38194,SO 0193,A,3.000,History of Social Welfare,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 108'}]",Kim A.  Oliver
38826,SO 0194,A,3.000,Sociology of Education,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}]",Rachelle J.  Brunn-Bevel
37084,SO 0222,A,4.000,Methods of Research Design,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'CNS 304'}]",Kurt C.  Schlichting
38827,SO 0229,A,3.000,Contemporary Social Theory,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'CNS 1'}]",Eric   Mielants
39116,SO 0390A,A,3.000,Special Topics: New York Public Library - Digital Social Science & History,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'CNS 209'}]",Kurt C.  Schlichting
37055,SO 0398,A,3.000,Field Work Placement,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/19-05/03', 'location': 'BY ARR '}]",Rose P.  Rodrigues
39148,SO 0399,RB,3.000,Independent Research,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/19-05/03', 'location': 'BY ARR '}]",Rachelle J.  Brunn-Bevel
37282,SW 0201,A,3.000,Software Engineering Methods,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",Amalia I.  Rusu
37176,SW 0202,A,3.000,Software Design Methods,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",Amalia I.  Rusu
37835,SW 0205,A,3.000,Software Testing and Maintenance,"[{'days': 'F', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}]",Amalia I.  Rusu
39206,SW 0205,B,3.000,Software Testing and Maintenance,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",Thomas   Galasso
38937,SW 0355,A,3.000,Database Management Systems,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",Joseph   Corcoran
37285,SW 0400,01,3.000,Software Engineering Methods,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",Amalia I.  Rusu
37259,SW 0401,01,3.000,Software Design Methods,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",Amalia I.  Rusu
38938,SW 0402,01,3.000,Database Management Systems,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",Joseph   Corcoran
38288,SW 0407,01,3.000,Java for Programmers,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/20-05/13', 'location': 'BNW 166'}]",Wook-Sung   Yoo
37168,SW 0409,01,3.000,Advanced Programming in Java,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/21-05/13', 'location': 'BNW 166'}]",Thomas   Galasso
37844,SW 0420,01,3.000,Software Testing and Maintenance,"[{'days': 'F', 'times': '0200pm-0430pm', 'dates': '01/19-05/03', 'location': 'BNW 341'}]",Amalia I.  Rusu
39205,SW 0420,02,3.000,Software Testing and Maintenance,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 254'}]",Thomas   Galasso
37275,SW 0427,01,3.000,Operating Systems and Programming,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'CNS 304'}]",Joseph   Corcoran
37573,SW 0499,01,3.000,Algorithms,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",Wook-Sung   Yoo
37284,SW 0512,01,3.000,Web Development II with ASP.net,"[{'days': 'T', 'times': '1100am-0130pm', 'dates': '01/19-05/13', 'location': 'BNW 469'}]",William F.  Guelakis
