crn,catalog_id,section,credits,title,meetings,primary_instructor
11705,AH 0172,OL1,3.000,History of Photography,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Lauren Elise  Cesiro
11706,BI 0075,OL1,3.000,Ecology and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Thomas B.  Cunningham
11724,BI 0075,OL2,3.000,Ecology and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Thomas B.  Cunningham
11701,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DSB 109'}]",Sharlene A.  McEvoy
11707,CO 0100,OL1,3.000,Human Communication Theories,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",David   Gudelunas
11708,CO 0240,OL1,3.000,Intercultural Communication,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Qin   Zhang
11709,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 350'}]",Margaret A.  Wills
11710,EC 0012,OL1,3.000,Introduction to Macroeconomics,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",William F.  Vasquez Mazariegos
11711,EN 0101,OL1,3.000,Introduction to Literary and Cultural Studies,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/01-01/31', 'location': 'ONLINE '}]",Gita   Rajan
11712,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Jacqueline   Rinaldi
11725,ENW 0444,01,6.000,Fiction: Part I,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/27-01/05', 'location': 'ENDRIS '}]",Sonya R.  Huber
11703,FI 0500,01,3.000,Shareholder Value,"[{'days': 'MTWRF', 'times': '0600pm-1000pm', 'dates': '01/06-01/13', 'location': 'DSB 114'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/07-01/14', 'location': 'DSB 114'}]",Thomas E.  Conine
11722,HI 0399,DM,3.000,Independent Study,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/03-01/22', 'location': 'BY ARR '}]",David W.  McFadden
11702,MG 0500,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/02-01/14', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/07-01/14', 'location': 'DSB 115'}]",Lisa A.  Mainiero
11713,MU 0101,01,3.000,The History of Jazz,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'JGS 25'}]",Brian Q.  Torff
11727,NS 0687,01,1.000-6.000,DNP Immersion,"[{'days': '\xa0', 'times': 'TBA', 'dates': '01/02-01/14', 'location': 'BY ARR '}]",Joyce Muriel  Shea
11715,PS 0078,OL1,3.000,The Nature of the Universe,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/22-01/26', 'location': 'ONLINE '}]",Joachim   Kuhn
