term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2015,32436,AC 0011,A,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 108'}]",['MR 0200pm-0315pm 01/20-04/30 DSB 108'],Dawn W  Massey,28,28,0
Spring2015,33880,AC 0011,B,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 106'}]",['MR 0930am-1045am 01/20-04/30 DSB 106'],Dawn W  Massey,24,26,-2
Spring2015,33012,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 110A'}]",['MR 1100am-1215pm 01/20-04/30 DSB 110A'],Rebecca I.  Bloch,28,30,-2
Spring2015,33013,AC 0012,B,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",['MR 1230pm-0145pm 01/20-04/30 DSB 104'],Rebecca I.  Bloch,28,28,0
Spring2015,33014,AC 0012,C,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/20-04/30', 'location': 'DSB 104'}]",['MR 0330pm-0445pm 01/20-04/30 DSB 104'],Rebecca I.  Bloch,28,28,0
Spring2015,32438,AC 0012,D,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",['TF 0800am-0915am 01/20-04/30 DSB 112'],Michael P.  Coyne,28,31,-3
Spring2015,31934,AC 0012,E,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",['TF 0930am-1045am 01/20-04/30 DSB 112'],Michael P.  Coyne,28,32,-4
Spring2015,32060,AC 0012,G,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/20-04/30', 'location': 'DSB 110B'}]",['TF 1100am-1215pm 01/20-04/30 DSB 110B'],Jo Ann   Drusbosky,28,31,-3
Spring2015,32193,AC 0012,H,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",['TF 0200pm-0315pm 01/20-04/30 DSB 105'],Jo Ann   Drusbosky,28,29,-1
Spring2015,32437,AC 0012,I,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/20-04/30', 'location': 'DSB 105'}]",['TF 0330pm-0445pm 01/20-04/30 DSB 105'],Jo Ann   Drusbosky,28,28,0
Spring2015,32061,AC 0012,J,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/20-04/30', 'location': 'DSB 112'}]",['MR 1230pm-0145pm 01/20-04/30 DSB 112'],Arleen N.  Kardos,28,32,-4
